extra1
Ague Weed: Eupatorium perfoliatum
"Alder, Speckled: Alnus incana"
"Alder, Tag: Alnus incana"
"Alder, Gray: Alnus incana"
"Angelica, Seaside: Angelica lucida"
Arbor Vitae: Thuja occidentalis
"Arbutus, Trailing: Epigaea repens"
"Ash, American Mountain: Sorbus americana"
"Ash, Black: Fraxinus nigra"
"Ash, Brown: Fraxinus nigra"
"Ash, Swamp: Fraxinus nigra"
"Ash, White: Fraxinus americana"
"Ash, Yellow: Fraxinus Americana"
"Avens, Purple: Geum rivale"
"Avens, Water: Geum rivale"
"Avens, Yellow: Geum aleppicum"
"Balsam, Wild: Impatiens capensis"
Bast-tree: Tilia Cordata
Bear-vine Apples: Rubus chamaemorus
"Beech, Red: Fagus grandifolia"
"Beech, Winter: Fagus grandifolia"
Bitter Berry Wood: Prunus virginiana
Bitterwood: Populus tremuloides
"Blackberry, Dwarf Red: Rubus pubescens var. pubescens"
"Blackberry, Low: Rubus Canadensis"
"Boneset, Common: Eupatorium perfoliatum"
Brake: Pteridium aquilinum
"Bramble, Smooth: Rubus Canadensis"
"Bulrush, Panicled: Scirpus microcarpus"
"Bunchberry, Dwarf Bog: Cornus sericea"
"Buttercup, Common: Ranunculus acris"
"Cabbage, Skunk: Symplocarpus foetidus"
Canker Root: Coptis trifolia
Cardinal Flower: Lobelia cardinalis
"Carrot, Wild: Daucus carota"
Cat Pine: Picea glauca
"Cattail, Common: Typha latifolia"
"Cattail, Narrowleaf: Typha angustifolia"
"Cedar, American: Thuja occidentalis"
"Cedar, Northern White: Thuja occidentalis"
"Cedar, Yellow: Thuja occidentalis"
"Celery, Wild: Angelica lucida"
Checkerberry: Gaultheria procumbens
"Cherry, Bird: Prunus pensylvanica"
"Cherry, Black: Prunus serotina"
Clivers: Galium aparine
Cloudberry: Rubus chamaemorus
"Club Moss, Bristly: Lycopodium annotinum"
"Club Moss, Common: Lycopodium annotinum"
"Club Moss, Stiff: Lycopodium annotinum"
"Cornel, Northern Dwarf: Cornus sericea"
"Cranberry, Bog: Vaccinium macrocarpon"
"Cranberrybush, European: Viburnun opulus"
"Dandelion, Common: Taraxacum officinale"
Day Star: Nymphaea odorata
Deergrass: Rhexia virginica
"Dewberry, Bristly: Rubus hispidus"
"Dock, Curled: Rumex crispus"
"Dock, Yellow: Rumex crispus"
Dogberry: Sorbus americana
"Dogwood, Bunchberry: Cornus canadensis"
Dwarf Mulberry: Rubus chamaemorus
"Elder, American: Sambucus nigra ssp. canadensis"
"Elder, Redberry: Sambucus racemosa"
"Elder, Red Berried: Sambucus racemosa"
"Elder, Stinking: Sambucus racemosa"
"Elm, American: Ulmus americana"
"Elm, Soft: Ulmus americana"
"Elm, White: Ulmus americana"
"Everlasting, Pearly: Anaphalis margaritacea"
Eyebright: Euphrasia Nemorosa
"Fern, Bracken: Pteridium aquilinum"
"Fern, Christmas: Polystichum acrostichoides"
"Fern, Polypody: Polypodium virginianum"
Filbert: Corylus cornuta
Fireweed: Epilobium angustifolium
"Foam Flower, Heartleaf: Tiarella cordifolia"
Ginseng: Aralia nudicaulis
Gold Buttons: Tanacetum vulgare
Golden Locks: Polypodium virginianum
Gooseberry: Ribes hirtellum
"Goosberry, Currant: Ribes hirtellum"
Groundberry: Rubus hispidus
Ground Hemlock: Taxus canadensis
"Groundpine, Round-Branch: Lycopodium dendroideum"
"Groundpine, Tree: Lycopodium dendroideum"
Haircap Moss: Polystichum acrostichoides
"Hazelnut, American: Corylus cornuta"
Holy Grass: Hierochloe odorata
Indian Chocolate: Geum rivale
Indian Cucumber-root: Medeola virginiana
Indian Dipper: Sarracenia purpurea
Indian Pipe: Monotropa uniflora
"Indian Pipe, One-Flower: Monotropa uniflora"
Indian Potato: Apios Americana
Indian Root: Aralia racemosa
Indian Sage: Eupatorium perfoliatum
Indian Turnip: Arisaema triphyllum
Jug Woman’s Baby: Arisaema triphyllum
"Juniper, Ground: Juniperus communis"
King’s Cureall: Oenothera biennis
Labrador Tea: Ledum groenlandicum
"Lady’s Slipper, Common: Cypripedium acaule"
Larch: Larix laricina
"Larch, Eastern: Larix laricina"
"Lavender, Sea: Limonium carolinianum"
"Lettuce, Canada: Lactuca canadensis"
"Lettuce, Wild: Lactuca canadensis"
Life-of-Man: Aralia racemosa
Life Root: Senecio aureus
"Lily, Canada: Lilium canadense"
"Lily, Bullhead: Nuphar advena"
"Lily, Cow: Nuphar advena"
"Lily, Horse: Nuphar advena"
"Lily, Meadow: Lilium canadense"
"Lily, Sweet-Scented Water: Nymphaea odorata"
"Lily, Yellow Pond: Nuphar advena"
"Lime, Common: Tilia Cordata"
"Lime, English: Tilia Cordata"
"Lime, Small-leaf: Tilia Cordata"
Lingonberry: Vaccinium vitis-idaea
Linkum Piny: Chimaphila umbellata
Maiden Hair: Geum rivale
Maidenhair Spleenwort: Asplenium trichomanes
"Maple, Red: Acer rubrum"
"Maple, Striped: Acer pensylvanicum"
"Maple, Sugar: Acer saccharum"
Mayflower: Epigaea repens
Meadow Beauty: Rhexia virginica
Mentha Canadensis: Mentha arvensis
Milfoil: Achillea millefolium
"Mint, American: Mentha arvensis"
"Mint, Canada: Mentha arvensis"
"Mint, Field: Mentha arvensis"
"Mint, Wild: Mentha arvensis"
Mocassin Flower: Cypripedium acaule
Motherwort: Leonurus cardiaca
"Mustard, Black: Brassica nigra"
Pickerel Weed: Pontederia cordata
"Pine, Deal: Pinus strobus"
"Pine, Eastern White: Pinus strobes"
"Pine, Northern: Pinus strobus"
"Pine, Soft: Pinus strobus"
"Pine, White: Pinus strobus"
Pipsissewa: Chimaphila umbellata
Potato Bean: Apios Americana
"Primrose, Evening: Oenothera biennis"
Prince’s Pine: Chimaphila umbellata
Queen Anne’s Lace: Daucus carota
"Ragwort, Golden: Senecio aureus"
"Raspberry, American Red: Rubus idaeus"
"Raspberry, Dwarf Red: Rubus pubescens var. pubescens"
"Raspberry, Running: Rubus hispidus"
Rock Harlequin: Corydalis sempervirens
Sanicle: Sanicula marilandica
"Sanicle, Maryland: Sanicula marilandica"
"Scullcap, Marsh: Scutellaria galericulata"
Sheep Laurel: Kalmia angustifolia
Shinleaf: Pyrola Elliptica
"Shinleaf, Waxflower: Pyrola Elliptica"
Skunk Cabbage: Symplocarpus foetidus
Smooth Bramble: Rubus Canadensis
Snake Berries: Mitchella repens
Snakehead: Chelone glabra
"Snakeroot, Maryland: Sanicula marilandica"
"Solomon’s Seal, Feather: Maianthemum racemosum ssp. Racemosum"
Spikenard: Aralia racemosa
"Spinach, Wild: Chenopodium album"
"Spruce, Canadian: Picea glauca"
"Spruce, Black: Picea mariana"
"Spruce, Bog: Picea mariana"
"Spruce, Cat: Picea glauca"
"Spruce, Hemlock: Tsuga canadensis"
"Spruce, Pine: Tsuga canadensis"
"Spruce, Skunk: Picea glauca"
"Spruce, Swamp: Picea mariana"
"Spruce, White: Picea glauca"
Squaw Berry: Mitchella repens
Squaw Bush: Salix lucida
Squawbush: Viburnun opulus
Squaw Plum: Mitchella repens
Squaw Vine: Mitchella repens
Squaw Weed: Senecio aureus
"Squaw Weed, Swamp: Senecio aureus"
