Year,site,WL_mean,WL_sd,WL_min,WL_max,max_inc,max_dec,prop_GS_comp,GS_change,prop_over_0cm,prop_bet_0_neg30cm,prop_under_neg30cm
2016,plot.1,-22.01077380952385,5.344699638602844,-30.8,-9.3,2.900000000000002,-3.5999999999999996,100,-10.534305555555555,0,99.40476190476191,0.5952380952380952
2017,plot.1,-45.4663095238095,9.221061461026224,-59,-23.5,4.700000000000003,-3,100,-13.618472222222223,0,5.119047619047619,94.88095238095238
2018,plot.1,-24.17473214285713,8.352266678330535,-39.6,18.6,23.6,-2.8000000000000007,100,0.9258333333333262,0.5952380952380952,68.39285714285714,31.011904761904763
2019,plot.1,-18.115098272781466,11.548205741961596,-38.2,29.5,14.799999999999999,-2.9,99.94047619047619,-20.88736111111112,3.0673019654556284,76.92078618225135,20.07147111375819
2020,plot.1,-21.09160714285714,12.205614198316706,-41.2,28.8,1.1999999999999993,-7.100000000000001,100,-9.579722222222218,3.6309523809523814,74.25595238095238,22.113095238095237
2021,plot.1,8.315327380952342,11.416449284785088,-3.1,61.6,28.599999999999998,-2.1000000000000014,100,12.989444444444425,83.03571428571429,17.32142857142857,0
2022,plot.1,-0.40940476190475017,8.529454121935174,-16.8,36.4,5.199999999999999,-1.1000000000000014,100,8.741944444444446,46.398809523809526,54.13690476190476,0
2016,plot.2,-2.945714285714292,4.25544424026013,-10.6,9.4,5.1,-1.4000000000000004,100,-5.73486111111111,20.416666666666668,80.05952380952381,0
2017,plot.2,2.552053571428616,7.629920768196393,-13.4,37.4,4,-3,100,-9.067222222222227,58.69047619047619,41.726190476190474,0
2018,plot.2,-0.47556547619045353,3.3338361996909076,-10.2,11,3.2,-2.9,100,-4.249444444444447,41.48809523809524,59.61309523809524,0
2019,plot.2,4.899463806970565,9.412945955430184,-7.2,40.1,25.4,-3.5,99.91071428571429,-20.68152777777778,62.257968424188256,38.09949359547215,0
2020,plot.2,1.6304166666667468,9.489959461427524,-9.3,47.7,1.1999999999999957,-8.300000000000004,100,-8.797361111111112,55.05952380952381,45.56547619047619,0
2021,plot.2,17.689821428571417,11.101789881851733,3.8,68.7,18.099999999999998,-2.4000000000000057,100,13.814722222222224,100,0,0
2022,plot.2,17.050892857142856,7.880395316403183,3.3,48.7,22.3,-2,100,11.179722222222225,100,0,0
2016,plot.3,-49.3575297619047,16.301707615492703,-123.3,-9.6,102,-98.69999999999999,100,-37.337222222222216,0,8.333333333333332,91.66666666666666
2017,plot.3,-49.050863095237986,20.82617377223601,-81.3,1.6,6.5,-3.1000000000000014,100,-37.22805555555557,0.4464285714285714,23.779761904761905,75.77380952380952
2018,plot.3,-60.61235119047612,23.689485368127478,-110,-20.1,15.700000000000003,-2.8000000000000007,100,-18.27361111111113,0,7.142857142857142,92.85714285714286
2019,plot.3,-27.67847573682639,20.16844413216484,-63.3,10.8,6.1,-3.3,99.9702380952381,-40.59624999999999,10.241143197380174,41.17296814528134,48.79428401309914
2020,plot.3,-60.68946428571423,21.864902982768495,-96,-2.3,12.599999999999998,-9.200000000000001,100,-34.41458333333334,0,6.5773809523809526,93.42261904761905
2021,plot.3,-31.838869047619085,23.2010623794492,-53.8,771.1,734,-490.40000000000003,100,13.48569444444444,0.08928571428571429,35.595238095238095,64.31547619047619
2022,plot.3,-36.06374999999998,17.69263343836972,-76.5,4.3,9.700000000000003,-1.0999999999999996,100,7.900138888888893,0.5952380952380952,42.20238095238095,57.20238095238095
2016,plot.4,-14.799434523809595,9.024786894068857,-31.9,6.7,2.4,-4.8,100,-18.097083333333327,5.654761904761905,91.66666666666666,2.797619047619048
2017,plot.4,-15.795863095238156,14.62956376323835,-43,16.2,4.299999999999997,-3.1000000000000014,100,-21.975694444444446,19.732142857142858,61.30952380952381,19.166666666666668
2018,plot.4,1.2732440476190554,9.656030430753152,-20.9,24.7,41.3,-2.8999999999999986,100,-6.076249999999995,59.017857142857146,41.42857142857143,0
2019,plot.4,4.804019053289583,12.12271500537255,-12.5,35.4,14.3,-2.099999999999998,99.9702380952381,-23.38638888888888,52.33700506103007,48.34772253646919,0
2020,plot.4,-1.9699702380952142,8.711103740092408,-17.2,38.7,18.1,-5.5,100,-4.633333333333336,19.761904761904763,81.63690476190476,0
