"site.name","local.id","site_type","year","xcoord","ycoord","TC","Co","P","pH","smmi","smmi.rating","notes"
"NWCA11-R303","BIGH","SEN",2011,554269.490012,4898325.52487,51.23,0.21,0,3.2,96.2339949329781,"Good","Big Heath"
"NWCA16-R303","BIGH","SEN",2016,554269.490012,4898325.52487,50.66,0.2,205,3.1,89.558155197094,"Good","Big Heath"
"NWCA11-R301","DUCK","SEN",2011,549457.841841,4907550.89876,50.04,3.05,0,3.9,83.8019268569431,"Good","Duck Pond"
"NWCA16-R301","DUCK","SEN",2016,549457.841841,4907550.89876,45.4,3.13,215.6,4.3,70.6028324240362,"Fair","Duck Pond"
"NWCA11-R310","FRAZ","SEN",2011,574781.215524,4912542.80602,53.08,1,0,3.3,94.7157082135855,"Good","Frazer Fen"
"NWCA16-R310","FRAZ","SEN",2016,574781.215524,4912542.80602,50.08,1.09,300.6,3.7,79.3023983034795,"Good","Frazer Fen"
"NWCA11-R304","GILM","SEN",2011,558038.912706,4912418.31945,24.75,5.65,617.4,4.4,38.8332908548606,"Poor","Gilmore Meadow"
"NWCA16-R304","GILM","SEN",2016,558038.912706,4912418.31945,44.45,3.77,406,4.3,61.7743162027761,"Fair","Gilmore Meadow"
"NWCA11-R307","GRME","SEN",2011,530759.542631,4877329.3529,52.7,1.16,0,3.4,93.4011020486071,"Good","Great Meadow"
"NWCA16-R307","GRME","SEN",2016,530759.542631,4877329.3529,41.96,0.98,233,3.8,77.0761961431293,"Good","Great Meadow"
"NWCA11-R308","HEBR","SEN",2011,550295.821627,4902978.34333,49.71,6.06,0,3.7,77.8189558101141,"Good","Heath Brook"
"NWCA16-R308","HEBR","SEN",2016,550295.821627,4902978.34333,47.38,5.92,283.2,3.6,67.5892656078632,"Fair","Heath Brook"
"NWCA11-R309","HODG","SEN",2011,548334.021846,4908555.80487,49.3,1.23,0,3.6,90.0201723056156,"Good","Hodgdon Swamp"
"NWCA16-R309","HODG","SEN",2016,548334.021846,4908555.80487,48.29,2.06,288.8,3.8,75.7257780451281,"Good","Hodgdon Swamp"
"NWCA11-R305","LIHU","SEN",2011,562734.687133,4905961.53258,46.35,2.9,44,4.3,77.7692135592586,"Good","Little Hunter's Brook"
"NWCA16-R305","LIHU","SEN",2016,562734.687133,4905961.53258,39.28,9.76,612.2,4.9,32.8824472331797,"Poor","Little Hunter's Brook"
"NWCA11-R306","NEMI","SEN",2011,560565.544666,4915579.55217,50.13,1.97,0,3.6,88.6571829777511,"Good","New Mills- North"
"NWCA16-R306","NEMI","SEN",2016,560565.544666,4915579.55217,48.23,2.79,311.2,3.9,72.3980915519685,"Good","New Mills- North"
"NWCA11-R302","WMTN","SEN",2011,550431.548401,4903780.79241,49.58,4.12,0,4.1,79.5132691953887,"Good","Western Mtn. Swamp"
"NWCA16-R302","WMTN","SEN",2016,550431.548401,4903780.79241,47.94,4.05,181.6,3.8,74.5585610596902,"Good","Western Mtn. Swamp"
